iter	RMSE
0	2.297397054
1	2.281002448
2	2.264942787
3	2.249959133
4	2.23600964
5	2.224059456
6	2.2114792
7	2.19906686
8	2.18688823
9	2.174128825
10	2.163757154
11	2.153018101
12	2.144737568
13	2.133080573
14	2.123307018
15	2.114277111
16	2.104851077
17	2.095988712
18	2.087678928
19	2.083453436
20	2.077009083
21	2.068574338
22	2.06133249
23	2.056584436
24	2.047602689
25	2.042317179
26	2.035671109
27	2.028729534
28	2.022201394
29	2.016145643
30	2.009936681
31	2.00278602
32	1.99699399
33	1.990777773
34	1.985712534
35	1.979219864
36	1.974807375
37	1.970820999
38	1.965116823
39	1.960920185
40	1.956224435
41	1.94922312
42	1.944714851
43	1.937710442
44	1.93349834
45	1.929857045
46	1.923823562
47	1.920144706
48	1.915667955
49	1.912156605
50	1.905885935
51	1.90224876
52	1.898097566
53	1.8928322
54	1.888964036
55	1.885542425
56	1.88202478
57	1.878884398
58	1.875982628
59	1.872551532
60	1.869401892
61	1.864961751
62	1.862196602
63	1.859772236
64	1.855962261
65	1.851328298
66	1.847137147
67	1.844372361
68	1.841105185
69	1.837711181
70	1.835200057
71	1.832952889
72	1.829432624
73	1.826627913
74	1.822992759
75	1.821577873
76	1.818482001
77	1.816860354
78	1.814178815
79	1.810593186
80	1.807814858
81	1.804395349
82	1.801785526
83	1.799605611
84	1.796343048
85	1.793815641
86	1.78970743
87	1.785933121
88	1.78341415
89	1.780581755
90	1.777495566
91	1.775615472
92	1.771635219
93	1.769803789
94	1.768436948
95	1.765942643
96	1.763002045
97	1.760824945
98	1.759216089
99	1.757847536
100	1.755572349
101	1.753245537
102	1.749886895
103	1.746930707
104	1.744650678
105	1.742224341
106	1.74076889
107	1.737794425
108	1.735881116
109	1.733760861
110	1.732081521
111	1.729546986
112	1.727319974
113	1.725428922
114	1.723104928
115	1.719625658
116	1.716471174
117	1.714783044
118	1.713707656
119	1.712002873
120	1.709164554
121	1.706878524
122	1.704544128
123	1.702774423
124	1.700394929
125	1.699170104
126	1.696875256
127	1.694678614
128	1.693061114
129	1.691226708
130	1.688015928
131	1.685979009
132	1.683814716
133	1.68274014
134	1.681140588
135	1.68029071
136	1.67888322
137	1.678800097
138	1.677092393
139	1.675186316
140	1.674215186
141	1.671938525
142	1.669706674
143	1.668152354
144	1.667253124
145	1.665384257
146	1.662993077
147	1.661446847
148	1.6587929
149	1.657716508
150	1.655527138
151	1.654154537
152	1.652371815
153	1.650893195
154	1.648922135
155	1.64620655
156	1.643254428
157	1.642041601
158	1.639507184
159	1.637050338
160	1.635356496
161	1.632879243
162	1.630425019
163	1.629488737
164	1.627623858
165	1.626316338
166	1.624537408
167	1.621584379
168	1.620454064
169	1.619434938
170	1.618219444
171	1.615723051
172	1.613460872
173	1.611367319
174	1.608933023
175	1.608102946
176	1.605823671
177	1.604653096
178	1.603888194
179	1.603337439
180	1.602086736
181	1.600531736
182	1.599150537
183	1.597111233
184	1.595733709
185	1.594319573
186	1.592225487
187	1.590225172
188	1.58758508
189	1.586655615
190	1.584991428
191	1.583270746
192	1.582172567
193	1.579567857
194	1.578250167
195	1.577162243
196	1.575763413
197	1.574373883
198	1.572322362
199	1.571408442
200	1.570469563
201	1.56864781
202	1.567173078
203	1.566190349
204	1.563883294
205	1.562944604
206	1.56171481
207	1.55919181
208	1.556889514
209	1.556247359
210	1.555624131
211	1.55468101
212	1.552222826
213	1.551147613
214	1.549624692
215	1.547629538
216	1.546558989
217	1.544604653
218	1.543949824
219	1.542805854
220	1.540448706
221	1.538033116
222	1.536427966
223	1.535166613
224	1.533718358
225	1.531368121
226	1.529581964
227	1.528955773
228	1.527848198
229	1.526174536
230	1.525245909
231	1.524283855
232	1.522325733
233	1.521614065
234	1.519864746
235	1.518255793
236	1.516161457
237	1.515565083
238	1.513431241
239	1.51243111
240	1.512025758
241	1.510026755
242	1.508594436
243	1.507390857
244	1.50631106
245	1.504337979
246	1.502903033
247	1.501017277
248	1.499469722
249	1.498529478
250	1.496473371
251	1.49555818
252	1.493967302
253	1.492309369
254	1.490576585
255	1.489771618
256	1.488273102
257	1.487423334
258	1.486457059
259	1.485003668
260	1.484102213
261	1.483309338
262	1.482058451
263	1.480531171
264	1.47913098
265	1.478243121
266	1.477339913
267	1.475301835
268	1.473853832
269	1.472681559
270	1.471815026
271	1.471103428
272	1.469703987
273	1.469089645
274	1.467667109
275	1.466599823
276	1.465108255
277	1.463032573
278	1.461667144
279	1.459505282
280	1.458087585
281	1.457071025
282	1.456422175
283	1.455259873
284	1.454545221
285	1.453776455
286	1.453273834
287	1.45201241
288	1.451424481
289	1.449858406
290	1.448998101
291	1.446965925
292	1.445924562
293	1.444313035
294	1.443075615
295	1.441835534
296	1.440660504
297	1.439351953
298	1.438375071
299	1.436570741
300	1.434301347
301	1.432970018
302	1.431918259
303	1.430649116
304	1.429182128
305	1.428640686
306	1.427521995
307	1.42684099
308	1.425395035
309	1.424033819
310	1.422781256
311	1.42114264
312	1.420013092
313	1.419275732
314	1.417193385
315	1.415739813
316	1.413816688
317	1.412094314
318	1.410862788
319	1.41000715
320	1.409107703
321	1.408114948
322	1.406884049
323	1.405806525
324	1.404210822
325	1.403149201
326	1.40168342
327	1.400517648
328	1.399265758
329	1.398677151
330	1.397244963
331	1.395701732
332	1.39482594
333	1.393754325
334	1.392309505
335	1.391538625
336	1.389842302
337	1.388069424
338	1.387053717
339	1.385897983
340	1.38515832
341	1.384324749
342	1.383877704
343	1.383056604
344	1.381617398
345	1.381206689
346	1.380203189
347	1.378969222
348	1.377730355
349	1.375997306
350	1.375579218
351	1.373884206
352	1.37301853
353	1.372699802
354	1.370724402
355	1.369871767
356	1.369299679
357	1.36777059
358	1.36686016
359	1.365495984
360	1.364470739
361	1.363234779
362	1.362348842
363	1.36138007
364	1.360755557
365	1.359624592
366	1.35889416
367	1.357049088
368	1.355732599
369	1.354242136
370	1.352385502
371	1.350888927
372	1.350228816
373	1.349794385
374	1.348259423
375	1.347464426
376	1.346832839
377	1.345708943
378	1.344626735
379	1.343821917
380	1.343157245
381	1.342350848
382	1.341244179
383	1.339612315
384	1.339168659
385	1.338246291
386	1.336939279
387	1.335727352
388	1.334462776
389	1.333177686
390	1.332338316
391	1.331013997
392	1.330088485
393	1.32929518
394	1.32822656
395	1.327528939
396	1.326372453
397	1.325238059
398	1.324363849
399	1.323229456
400	1.321455887
401	1.320617275
402	1.319626688
403	1.318741683
404	1.318103368
405	1.317514178
406	1.316664735
407	1.315226157
408	1.314832043
409	1.313983032
410	1.313421439
411	1.312887383
412	1.31206705
413	1.311196774
414	1.30998874
415	1.308806608
416	1.307699499
417	1.306566433
418	1.3050702
419	1.30393955
420	1.303087844
421	1.302406879
422	1.30159713
423	1.300732094
424	1.299878554
425	1.29865293
426	1.297746119
427	1.296845026
428	1.296104225
429	1.295457201
430	1.294631758
431	1.293576601
432	1.292916083
433	1.291337273
434	1.290366551
435	1.289553215
436	1.288811333
437	1.287638045
438	1.286466025
