iter	Passed	Remaining
0	1	1844
1	2	1319
2	3	1134
3	4	1060
4	4	990
5	5	947
6	6	918
7	7	901
8	8	881
9	8	864
10	9	851
11	10	839
12	10	829
13	11	804
14	11	787
15	12	796
16	13	777
17	13	760
18	14	743
19	14	717
20	15	705
21	15	693
22	16	683
23	16	673
24	17	664
25	17	656
26	18	648
27	18	641
28	18	634
29	19	628
30	19	622
31	20	615
32	20	611
33	21	606
34	21	602
35	22	597
36	22	592
37	23	588
38	23	585
39	24	581
40	24	577
41	25	573
42	25	570
43	26	567
44	26	564
45	27	560
46	27	557
47	27	554
48	28	552
49	28	549
50	29	546
51	29	544
52	30	542
53	30	539
54	31	536
55	31	534
56	32	533
57	32	531
58	33	529
59	33	527
60	34	525
61	34	523
62	35	521
63	35	519
64	36	518
65	36	517
66	37	515
67	37	513
68	37	512
69	38	512
70	39	510
71	39	509
72	40	508
73	40	506
74	40	505
75	41	503
76	41	502
77	42	501
78	42	499
79	43	499
80	43	498
81	44	497
82	45	506
83	46	505
84	46	504
85	47	503
86	47	501
87	48	500
88	48	499
89	49	498
90	49	496
91	50	495
92	50	494
93	51	493
94	51	490
95	52	489
96	52	488
97	52	487
98	53	486
99	53	485
100	54	484
101	54	483
102	55	482
103	55	480
104	56	479
105	56	478
106	57	477
107	57	476
108	58	475
109	58	474
110	59	473
111	59	472
112	60	471
113	60	470
114	61	469
115	61	468
116	61	467
117	62	468
118	63	468
119	63	467
120	64	467
121	64	466
122	65	466
123	65	465
124	66	465
125	66	464
126	67	463
127	67	463
128	68	462
129	69	462
130	69	461
131	70	462
132	70	461
133	71	461
134	71	460
135	72	459
136	72	459
137	73	456
138	73	455
139	74	455
140	74	454
141	75	455
142	75	454
143	76	453
144	76	452
145	77	451
146	77	450
147	78	450
148	78	449
149	79	448
150	79	447
151	80	446
152	80	445
153	81	445
154	81	444
155	81	443
156	82	442
157	82	441
158	83	441
159	83	440
160	84	439
161	84	438
162	85	437
163	85	437
164	86	436
165	86	435
166	87	434
167	87	434
168	88	433
169	88	432
170	89	431
171	89	431
172	90	430
173	90	429
174	90	428
175	91	427
176	91	427
177	92	426
178	92	425
179	93	425
180	93	424
181	94	423
182	94	423
183	95	422
184	95	421
185	96	420
186	96	420
187	97	419
188	97	418
189	98	417
190	98	417
191	98	416
192	99	415
193	99	415
194	100	414
195	100	413
196	101	412
197	101	412
198	102	411
199	102	410
200	103	409
201	103	409
202	104	408
203	104	407
204	104	407
205	105	406
206	106	407
207	106	407
208	107	406
209	107	406
210	108	405
211	108	404
212	109	403
213	109	403
214	110	402
215	110	401
216	111	401
217	111	400
218	112	399
219	112	399
220	113	398
221	113	398
222	114	397
223	114	397
224	115	396
225	115	395
226	116	395
227	116	394
228	117	394
229	117	393
230	117	392
231	118	392
232	118	391
233	119	390
234	119	390
235	120	389
236	120	389
237	121	388
238	121	387
239	122	387
240	122	386
241	123	386
242	123	385
243	124	385
244	124	384
245	125	383
246	125	383
247	126	382
248	126	382
249	127	381
250	127	380
251	128	380
252	128	379
253	129	378
254	129	378
255	129	377
256	130	377
257	130	376
258	131	376
259	131	375
260	132	374
261	132	374
262	133	373
263	133	373
264	134	372
265	134	371
266	135	371
267	135	370
268	136	370
269	136	369
270	137	369
271	137	368
272	138	368
273	138	367
274	139	367
275	139	366
276	140	366
277	140	366
278	141	365
279	142	365
280	142	364
281	143	364
282	143	363
283	143	362
284	144	362
285	145	362
286	145	361
287	146	361
288	146	360
289	147	359
290	147	359
291	147	358
292	148	358
293	148	357
294	149	356
295	149	356
296	150	355
297	150	355
298	151	354
299	151	354
300	152	353
301	152	353
302	153	352
303	153	352
304	154	351
305	154	351
306	155	350
307	155	349
308	156	349
309	156	348
310	157	348
311	157	347
312	158	347
313	158	346
314	159	345
315	159	345
316	160	344
317	160	344
318	160	343
319	161	343
320	161	342
321	162	341
322	162	341
323	163	340
324	163	340
325	164	339
326	164	339
327	165	338
328	165	338
329	166	337
330	166	337
331	167	336
332	167	336
333	168	335
334	168	335
335	169	334
336	169	334
337	170	333
338	170	333
339	171	332
340	171	332
341	172	331
342	172	330
343	173	330
344	173	329
345	174	328
346	174	328
347	175	327
348	175	327
349	175	326
350	176	326
351	176	325
352	177	325
353	177	324
354	178	323
355	178	323
356	179	322
357	179	322
358	180	321
359	180	321
360	181	320
361	181	320
362	182	319
363	182	319
364	183	318
365	183	318
366	184	317
367	184	316
368	185	316
369	185	315
370	185	315
371	186	314
372	186	314
373	187	313
374	187	313
375	188	312
376	188	311
377	189	311
378	189	310
379	190	310
380	190	309
381	191	309
382	191	308
383	192	308
384	192	307
385	193	307
386	193	306
387	193	305
388	194	305
389	194	304
390	195	304
391	195	303
392	196	303
393	196	302
394	197	302
395	197	301
396	198	300
397	198	300
398	199	299
399	199	299
400	200	298
401	200	298
402	201	297
403	201	297
404	202	296
405	202	296
406	202	295
407	203	295
408	203	294
409	204	294
410	204	293
411	205	292
412	205	292
413	206	291
414	206	291
415	207	290
416	207	290
417	208	289
418	208	289
419	208	288
420	209	288
421	209	287
422	210	286
423	210	286
424	211	285
425	211	285
426	212	284
427	212	284
428	213	283
429	213	283
430	214	282
431	214	282
432	215	281
433	215	281
434	216	280
435	216	280
436	216	279
437	217	278
438	217	278
439	218	277
440	218	277
441	219	276
442	219	276
443	220	275
444	220	275
445	221	274
446	221	274
447	222	273
448	222	273
449	223	272
450	223	272
451	224	271
452	224	271
453	224	270
454	225	270
455	226	269
456	226	269
