genre,age,nationalite,niveauEtudes,sessionId,associationType,personAType,valueOneA,valueTwoA,forceA,personBType,valueOneB,valueTwoB,forceB
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-reward,Robot,8,5,8,Personne âgée,2,5,3
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-reward,Femme petite taille,4,7,5,Robot,6,3,8
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-effort,Enfant,5,3,3,Femme petite taille,5,7,5
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,effort-reward,Enfant,3,3,3,Femme petite taille,7,7,5
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,effort-reward,Femme grande taille,5,5,7,Homme petite taille,5,5,6
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-reward,Homme petite taille,8,8,6,Personne âgée,2,2,3
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-reward,Homme grande taille,6,6,9,Homme petite taille,4,4,6
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,effort-reward,Personne âgée,3,3,3,Femme grande taille,7,7,7
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-effort,Homme petite taille,7,8,6,Enfant,3,2,3
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-reward,Personne âgée,3,3,3,Homme petite taille,7,7,6
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-effort,Personne âgée,7,3,3,Femme petite taille,3,7,5
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-effort,Femme grande taille,4,5,7,Homme grande taille,6,5,9
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-effort,Homme grande taille,8,9,9,Personne âgée,2,1,3
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,effort-reward,Personne âgée,3,5,3,Femme grande taille,7,5,7
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,effort-reward,Femme petite taille,2,10,5,Robot,8,0,8
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-effort,Enfant,1,1,3,Robot,9,9,8
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,risk-reward,Robot,6,0,8,Femme grande taille,4,10,7
homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,effort-reward,Femme grande taille,7,5,7,Enfant,3,5,3
homme,21,FRA,bac+3,a4237e0c-4bc0-48d7-8a6a-3155792d9cc5,risk-effort,Femme petite taille,6,2,6,Homme petite taille,4,8,7
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,effort-reward,Femme grande taille,7,5,5,Personne âgée,3,5,1
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-reward,Enfant,1,3,2,Homme grande taille,9,7,8
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-reward,Robot,7,0,10,Femme grande taille,3,10,6
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-effort,Homme grande taille,0,10,8,Personne âgée,10,0,1
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-reward,Homme grande taille,8,5,8,Femme petite taille,2,5,4
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,effort-reward,Femme petite taille,7,8,4,Enfant,3,2,2
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-effort,Homme petite taille,10,5,6,Femme grande taille,0,5,6
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-effort,Femme petite taille,2,10,4,Personne âgée,8,0,1
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,effort-reward,Enfant,0,3,2,Homme grande taille,10,7,8
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-reward,Homme petite taille,10,5,6,Personne âgée,0,5,1
homme,23,ITA,bac+3,d2d3d9a9-2f34-4b29-b08c-8d7dbf0bb543,risk-effort,Personne âgée,0,0,1,Homme grande taille,10,10,8
