genre,age,nationalite,niveauEtudes,sessionId,associationType,personAType,valueOneA,valueTwoA,forceA,personBType,valueOneB,valueTwoB,forceB
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,risk-reward,Robot,5.0,5.0,5.0,Personne âgée,5.0,5.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,risk-effort,Homme petite taille,5.0,5.0,1.0,Personne âgée,5.0,5.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,risk-effort,Femme grande taille,5.0,5.0,1.0,Homme grande taille,5.0,5.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,risk-reward,Enfant,5.0,5.0,1.0,Homme grande taille,5.0,5.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,risk-reward,Personne âgée,5.0,5.0,1.0,Enfant,5.0,5.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,effort-reward,Personne âgée,5.0,5.0,1.0,Femme petite taille,5.0,5.0,8.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,risk-effort,Robot,5.0,5.0,5.0,Femme petite taille,5.0,5.0,8.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,effort-reward,Femme grande taille,5.0,5.0,1.0,Homme petite taille,5.0,5.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,effort-reward,Enfant,0.0,2.0,1.0,Homme petite taille,10.0,8.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,effort-reward,Robot,0.0,3.0,5.0,Femme petite taille,10.0,7.0,8.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,risk-effort,Homme petite taille,6.0,10.0,1.0,Homme grande taille,4.0,0.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,risk-effort,Personne âgée,4.0,3.0,1.0,Personne âgée,6.0,7.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,effort-reward,Personne âgée,0.0,7.0,1.0,Enfant,10.0,3.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,risk-effort,Enfant,4.0,1.0,1.0,Enfant,6.0,9.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,risk-reward,Robot,9.0,5.0,5.0,Femme petite taille,1.0,5.0,8.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,effort-reward,Robot,9.0,0.0,5.0,Personne âgée,1.0,10.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,effort-reward,Femme grande taille,7.0,0.0,1.0,Homme petite taille,3.0,10.0,1.0
femme,23,DZA,bac+4,01416e5c-1693-4f12-9351-466371957356,effort-reward,Femme grande taille,9.0,3.0,1.0,Homme grande taille,1.0,7.0,1.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-reward,Homme petite taille,6.0,5.0,6.0,Femme petite taille,4.0,5.0,5.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Personne âgée,3.0,7.0,5.0,Femme grande taille,7.0,3.0,7.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Homme petite taille,3.0,3.0,6.0,Robot,7.0,7.0,10.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Femme petite taille,7.0,3.0,5.0,Homme petite taille,3.0,7.0,6.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-reward,Femme petite taille,5.0,5.0,5.0,Enfant,5.0,5.0,4.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Homme petite taille,8.0,2.0,6.0,Robot,2.0,8.0,10.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Femme petite taille,3.0,3.0,5.0,Homme petite taille,7.0,7.0,6.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-reward,Robot,5.0,5.0,10.0,Homme grande taille,5.0,5.0,8.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Femme grande taille,6.0,6.0,7.0,Femme petite taille,4.0,4.0,5.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Femme grande taille,2.0,8.0,7.0,Homme grande taille,8.0,2.0,8.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Femme petite taille,3.0,3.0,5.0,Femme grande taille,7.0,7.0,7.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-reward,Enfant,4.0,4.0,4.0,Homme petite taille,6.0,6.0,6.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-reward,Femme petite taille,5.0,5.0,5.0,Homme petite taille,5.0,5.0,6.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Homme grande taille,5.0,5.0,8.0,Robot,5.0,5.0,10.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Robot,6.0,6.0,10.0,Femme petite taille,4.0,4.0,5.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Homme grande taille,2.0,8.0,8.0,Homme petite taille,8.0,2.0,6.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Enfant,8.0,2.0,4.0,Robot,2.0,8.0,10.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-reward,Homme petite taille,6.0,5.0,6.0,Femme petite taille,4.0,5.0,5.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Personne âgée,3.0,7.0,5.0,Femme grande taille,7.0,3.0,7.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,effort-reward,Homme petite taille,3.0,3.0,6.0,Robot,7.0,7.0,10.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-effort,Femme petite taille,7.0,3.0,5.0,Homme petite taille,3.0,7.0,6.0
homme,21,FRA,bac+3,07ee76b8-854e-431c-8225-5515137ec684,risk-reward,Femme petite taille,5.0,5.0,5.0,Enfant,5.0,5.0,4.0
