iter	Logloss
0	0.6422163343
1	0.6119250343
2	0.5896159581
3	0.5752557421
4	0.5714618743
5	0.5560078697
6	0.5465372479
7	0.5286362663
8	0.5136503189
9	0.5086365957
10	0.4968354664
11	0.4845071217
12	0.4793479556
13	0.4690975008
14	0.4579467471
15	0.4526725345
16	0.4436251322
17	0.4390607561
18	0.4371080853
19	0.4274953206
20	0.4256516411
21	0.4187857915
22	0.4167895544
23	0.4093469892
24	0.4027137151
25	0.3963408092
26	0.3896901267
27	0.3835730477
28	0.3790814839
29	0.3737822639
30	0.3737342471
31	0.3708884224
32	0.3686252473
33	0.3582712809
34	0.3484885201
35	0.3450250777
36	0.339961612
37	0.3379983751
38	0.3349496145
39	0.3303888109
40	0.3272407774
41	0.3249701848
42	0.3213412875
43	0.3159816984
44	0.3118724217
45	0.3051664867
46	0.3022615947
47	0.3001609681
48	0.2949865432
49	0.2926722935
50	0.288554237
51	0.284470755
52	0.2806435237
53	0.277585408
54	0.2739477006
55	0.2714762612
56	0.2676880852
57	0.2640596117
58	0.2605856638
59	0.2581384447
60	0.2559285845
61	0.2537175133
62	0.250574778
63	0.2483650843
64	0.2465486678
65	0.2445619068
66	0.2423700605
67	0.2408977539
68	0.2383872441
69	0.2354659429
70	0.2333828305
71	0.2301256392
72	0.2274839462
73	0.2260344672
74	0.2235765154
75	0.220826043
76	0.2193215083
77	0.2182780372
78	0.2166654647
79	0.2152356496
80	0.2136079243
81	0.2123214479
82	0.2099974647
83	0.2086264595
84	0.2072942825
85	0.2063577743
86	0.2052792292
87	0.2038616453
88	0.2032403643
89	0.2018751871
90	0.20082006
91	0.1993805719
92	0.1985418229
93	0.1975874674
94	0.1968315367
95	0.1955907761
96	0.194815227
97	0.1937478686
98	0.1928657199
99	0.1918804835
100	0.1910788521
101	0.190135532
102	0.1896154161
103	0.1887153141
104	0.1877851032
105	0.1866848355
106	0.1860904391
107	0.1855723669
108	0.1850535075
109	0.1838430677
110	0.1829128265
111	0.1817797858
112	0.1809530561
113	0.1802127475
114	0.1796499434
115	0.1788422872
116	0.1781699771
117	0.1776931702
118	0.1770541327
119	0.1765681978
120	0.1756700637
121	0.1752832958
122	0.1743285013
123	0.1736499544
124	0.1733671521
125	0.1731146858
126	0.1726207733
127	0.1722417559
128	0.1717478586
129	0.1707440482
130	0.1700201186
131	0.1691766769
132	0.1687369271
133	0.1684481908
134	0.168119703
135	0.1674913073
136	0.1672619714
137	0.1667040113
138	0.1662937649
139	0.1655119184
140	0.1651842632
141	0.164808016
142	0.1643559592
143	0.1640920942
144	0.1636099437
145	0.1635121996
146	0.1628157298
147	0.1624547716
148	0.1621810974
149	0.1614918936
150	0.1606048554
151	0.1603384472
152	0.1595405094
153	0.1585688061
154	0.1582555619
155	0.1577402448
156	0.157514451
157	0.1572794233
158	0.1568659374
159	0.1564695267
160	0.1562633212
