iter	Passed	Remaining
0	2	359
1	4	337
2	5	311
3	7	311
4	8	274
5	10	271
6	11	262
7	13	257
8	15	261
9	17	260
10	19	260
11	20	257
12	22	255
13	24	252
14	25	251
15	27	248
16	28	245
17	30	242
18	31	238
19	33	237
20	34	231
21	36	230
22	37	224
23	39	222
24	41	223
25	43	223
26	44	222
27	46	222
28	48	222
29	50	220
30	51	215
31	52	213
32	54	213
33	56	210
34	58	209
35	59	207
36	61	205
37	63	204
38	64	203
39	66	202
40	68	200
41	70	199
42	72	197
43	73	195
44	75	193
45	76	191
46	78	190
47	80	188
48	81	186
49	83	185
50	85	184
51	87	182
52	89	181
53	91	180
54	92	178
55	94	177
56	96	176
57	98	175
58	100	173
59	102	171
60	104	170
61	105	168
62	107	166
63	108	165
64	110	163
65	112	161
66	114	160
67	116	159
68	118	157
69	119	155
70	121	153
71	123	152
72	124	150
73	126	148
74	128	147
75	130	145
76	132	144
77	133	142
78	135	140
79	137	138
80	139	137
81	140	135
82	142	134
83	144	132
84	146	131
85	148	129
86	149	127
87	151	125
88	153	123
89	154	122
90	156	120
91	158	118
92	160	117
93	162	115
94	164	114
95	166	112
96	168	110
97	169	109
98	171	107
99	172	105
100	174	103
101	176	101
102	177	100
103	179	98
104	181	96
105	182	94
106	184	92
107	185	91
108	187	89
109	189	87
110	190	85
111	192	84
112	194	82
113	195	80
114	197	79
115	199	77
116	201	75
117	202	73
118	204	72
119	206	70
120	208	68
121	209	67
122	211	65
123	213	63
124	215	61
125	216	60
126	218	58
127	220	56
128	221	54
129	222	53
130	224	51
131	226	49
132	228	48
133	230	46
134	231	44
135	233	42
136	235	41
137	236	39
138	238	37
139	240	36
140	242	34
141	243	32
142	245	30
143	247	29
144	248	27
145	250	25
146	252	24
147	254	22
148	256	20
149	258	18
150	259	17
151	261	15
152	263	13
153	265	12
154	266	10
155	268	8
156	270	6
157	272	5
158	274	3
159	276	1
160	278	0
