_id_x,genre,age,nationalite,niveauEtudes,sessionId,__v_x,_id_y,textId,associationType,personAType,valueOneA,valueTwoA,forceA,personBType,valueOneB,valueTwoB,forceB,__v_y,association_triplet
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05bb9dacaf24880d98feb,67a243ea6d8e29a001947946,risk-reward,Robot,8,5,8,Personne âgée,2,5,3,0,"[0, 1, 1]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05c02dacaf24880d98fed,67a243ea6d8e29a001947945,risk-reward,Femme petite taille,4,7,5,Robot,6,3,8,0,"[0, 1, 1]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05c25dacaf24880d98fef,67a51efa18a0dfe14aac016b,risk-effort,Enfant,5,3,3,Femme petite taille,5,7,5,0,"[1, 1, 0]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05c33dacaf24880d98ff1,67a243ea6d8e29a001947947,effort-reward,Enfant,3,3,3,Femme petite taille,7,7,5,0,"[1, 0, 1]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05c4bdacaf24880d98ff3,67a243ea6d8e29a001947949,effort-reward,Femme grande taille,5,5,7,Homme petite taille,5,5,6,0,"[1, 0, 1]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05cb0dacaf24880d98ff5,67a243ea6d8e29a001947946,risk-reward,Homme petite taille,8,8,6,Personne âgée,2,2,3,0,"[0, 1, 1]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05cd4dacaf24880d98ff7,67a243ea6d8e29a001947944,risk-reward,Homme grande taille,6,6,9,Homme petite taille,4,4,6,0,"[0, 1, 1]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05d72dacaf24880d98ff9,67a243ea6d8e29a001947949,effort-reward,Personne âgée,3,3,3,Femme grande taille,7,7,7,0,"[1, 0, 1]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05dbddacaf24880d98ffb,67a51e546623f6ccab523c27,risk-effort,Homme petite taille,7,8,6,Enfant,3,2,3,0,"[1, 1, 0]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05df9dacaf24880d98ffd,67a243ea6d8e29a001947944,risk-reward,Personne âgée,3,3,3,Homme petite taille,7,7,6,0,"[0, 1, 1]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e09dacaf24880d98fff,67a51efa18a0dfe14aac016b,risk-effort,Personne âgée,7,3,3,Femme petite taille,3,7,5,0,"[1, 1, 0]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e24dacaf24880d99001,67a51eb49d8894e943d3ff93,risk-effort,Femme grande taille,4,5,7,Homme grande taille,6,5,9,0,"[1, 1, 0]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e30dacaf24880d99003,67a51e546623f6ccab523c27,risk-effort,Homme grande taille,8,9,9,Personne âgée,2,1,3,0,"[1, 1, 0]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e61dacaf24880d99005,67a243ea6d8e29a001947948,effort-reward,Personne âgée,3,5,3,Femme grande taille,7,5,7,0,"[1, 0, 1]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e7ddacaf24880d99007,67a243ea6d8e29a001947947,effort-reward,Femme petite taille,2,10,5,Robot,8,0,8,0,"[1, 0, 1]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e8adacaf24880d99009,67a51eb49d8894e943d3ff93,risk-effort,Enfant,1,1,3,Robot,9,9,8,0,"[1, 1, 0]"
67e05b30dacaf24880d98fe8,homme,23,HRV,bac+4,420008aa-5136-48fb-9a6f-4347673fce87,0,67e05e9fdacaf24880d9900b,67a243ea6d8e29a001947945,risk-reward,Robot,6,0,8,Femme grande taille,4,10,7,0,"[0, 1, 1]"
